table_name,consolidated_category
albarcode,Application Logic & UI
albarcodeoption,Application Logic & UI
alcategory,Application Logic & UI
alcontent,Application Logic & UI
alcontentelement,Application Logic & UI
aldataelement,Application Logic & UI
aldatasource,Application Logic & UI
alfont,Application Logic & UI
alformat,Application Logic & UI
aljustification,Application Logic & UI
almargin,Application Logic & UI
almodel,Application Logic & UI
almodelexpr,Application Logic & UI
almodelgraphic,Application Logic & UI
almodelprinter,Application Logic & UI
alprinter,Application Logic & UI
alprintjob,Application Logic & UI
alprintlog,Application Logic & UI
alprintstation,Application Logic & UI
alrule,Application Logic & UI
alruledetail,Application Logic & UI
alsequence,Application Logic & UI
alsetup,Application Logic & UI
alsetuppro,Application Logic & UI
alstandard,Application Logic & UI
alstandardidentifier,Application Logic & UI
alsubstitution,Application Logic & UI
alsubstitutiondetail,Application Logic & UI
altradecompany,Application Logic & UI
ap1099box,Billing & Payments
ap1099history,Billing & Payments
ap1099year,Billing & Payments
apaddress,Billing & Payments
apadjust,Billing & Payments
apcontact,Billing & Payments
aphistory,Billing & Payments
apinvoice,Billing & Payments
apinvoicediscountdetail,Billing & Payments
appayment,Billing & Payments
apprestartrequest,Billing & Payments
apprintcheckdetail,Billing & Payments
appschema,Billing & Payments
apregister,Billing & Payments
apsetup,Billing & Payments
apsetupapproval,Billing & Payments
aptax,Billing & Payments
aptran,Billing & Payments
aptranpost,Billing & Payments
apvendorprice,Billing & Payments
apvendorrefnbr,Billing & Payments
araddress,Billing & Payments
aradjust,Billing & Payments
arbalances,Billing & Payments
arcontact,Billing & Payments
ardiscount,Billing & Payments
arhistory,Billing & Payments
arinvoice,Billing & Payments
arinvoicediscountdetail,Billing & Payments
arinvoicenbr,Billing & Payments
arpayment,Billing & Payments
arpaymentchargetran,Billing & Payments
arpaymenttotals,Billing & Payments
arpriceclass,Billing & Payments
arpriceworksheet,Billing & Payments
arpriceworksheetdetail,Billing & Payments
arregister,Billing & Payments
arsalespertran,Billing & Payments
arsalesprice,Billing & Payments
arsetup,Billing & Payments
arsetupapproval,Billing & Payments
arstatement,Billing & Payments
arstatementcycle,Billing & Payments
arstatementdetail,Billing & Payments
artax,Billing & Payments
artran,Billing & Payments
artranpost,Billing & Payments
auauditfield,Process Management
auauditsetup,Process Management
auaudittable,Process Management
audithistory,Process Management
auschedule,Process Management
auscheduleexecution,Process Management
auschedulefill,Process Management
auschedulefilter,Process Management
auschedulehistory,Process Management
auschedulehost,Process Management
auscreenactionbasestate,Process Management
auscreenactionstate,Process Management
auscreenfieldstate,Process Management
auscreennavigationactionstate,Process Management
auscreennavigationparameterstate,Process Management
autemplate,Process Management
autemplatedata,Process Management
auworkflowcategory,Process Management
auworkflowdefinition,Process Management
auworkflowstate,Process Management
auworkflowstateproperty,Process Management
bcbinding,IT
bcbindingext,IT
bcbindingshopify,IT
bcdefaultpaymentmapping,IT
bcdefaultshippingmapping,IT
bcentity,IT
bcentityexportfilter,IT
bcentityexportmapping,IT
bcentityimportfilter,IT
bcentityimportmapping,IT
bcentitystats,IT
bcfeemapping,IT
bclocations,IT
bcpaymentmethods,IT
bcshippingmappings,IT
bcsyncdetail,IT
bcsyncstatus,IT
bpevent,Process Management
bpeventhistory,Process Management
bpeventschedule,Process Management
bpeventsetting,Process Management
bpeventsubscriber,Process Management
bpeventtrackingfield,Process Management
bpeventtriggercondition,Process Management
bpprocessedeventsubscribers,Process Management
caadj,Finance & Accounting
cabanktranheader,Finance & Accounting
cabanktranrule,Finance & Accounting
cabatch,Finance & Accounting
cabatchdetail,Finance & Accounting
cacheversion,Finance & Accounting
cadailysummary,Finance & Accounting
caentrytype,Finance & Accounting
carecon,Finance & Accounting
carrier,Finance & Accounting
carrierlabelhistory,Finance & Accounting
carrierpackage,Finance & Accounting
carrierplugin,Finance & Accounting
carrierplugincustomer,Finance & Accounting
carrierplugindetail,Finance & Accounting
casetup,Finance & Accounting
cashaccount,Finance & Accounting
cashaccountcheck,Finance & Accounting
cashaccountetdetail,Finance & Accounting
cashaccountpaymentmethoddetail,Finance & Accounting
casplit,Finance & Accounting
catran,Finance & Accounting
catransfer,Finance & Accounting
ccprocessingcenter,Billing & Payments
ccprocessingcenterdetail,Billing & Payments
ccprocessingcenterfeetype,Billing & Payments
ccprocessingcenterpmntmethod,Billing & Payments
ccproctran,Billing & Payments
cractivity,Marketing
cractivitystatistics,Marketing
craddress,Marketing
crcampaigntype,Marketing
crcaseclass,Marketing
crclassseveritytime,Marketing
crcontact,Marketing
crcontactclass,Marketing
crcustomerclass,Marketing
crleadclass,Marketing
cropportunity,Marketing
cropportunityclass,Marketing
cropportunityclassprobability,Marketing
cropportunityprobability,Marketing
cropportunityproducts,Marketing
cropportunityrevision,Marketing
crrelation,Marketing
crreminder,Marketing
crsetup,Marketing
crvalidation,Marketing
crvalidationrules,Marketing
csanswers,Marketing
csattribute,Marketing
csattributedetail,Marketing
csattributegroup,Marketing
csbox,Marketing
cscalendar,Marketing
csscreenattribute,Marketing
drawinglogdiscipline,Reporting & Analytics
drawinglogstatus,Reporting & Analytics
drdeferredcode,Reporting & Analytics
dropshiplink,Reporting & Analytics
epactivitytype,HR & Employee Management
epactivitytypekvext,HR & Employee Management
epapproval,HR & Employee Management
epassignmentmap,HR & Employee Management
epattendee,HR & Employee Management
epcompanytree,HR & Employee Management
epcompanytreeh,HR & Employee Management
epcompanytreemember,HR & Employee Management
epdepartment,HR & Employee Management
epearningtype,HR & Employee Management
epemployee,HR & Employee Management
epemployeeclass,HR & Employee Management
epemployeeposition,HR & Employee Management
epeventcategory,HR & Employee Management
eplogintype,HR & Employee Management
eplogintypeallowsrole,HR & Employee Management
epposition,HR & Employee Management
eprule,HR & Employee Management
eprulecondition,HR & Employee Management
epsetup,HR & Employee Management
epview,HR & Employee Management
fsappointmentstatuscolor,Finance & Accounting
fscalendarcomponentfield,Finance & Accounting
fsgpstrackinghistory,Finance & Accounting
fsgpstrackingrequest,Finance & Accounting
fsxuserpreferences,Finance & Accounting
gidesign,Application Logic & UI
gifilter,Application Logic & UI
gifilterkvext,Application Logic & UI
gigroupby,Application Logic & UI
gimassaction,Application Logic & UI
gimassupdatefield,Application Logic & UI
ginavigationcondition,Application Logic & UI
ginavigationparameter,Application Logic & UI
ginavigationscreen,Application Logic & UI
gion,Application Logic & UI
girecorddefault,Application Logic & UI
girelation,Application Logic & UI
giresult,Application Logic & UI
giresultkvext,Application Logic & UI
gisort,Application Logic & UI
gitable,Application Logic & UI
giwhere,Application Logic & UI
glallocation,Finance & Accounting
glallocationdestination,Finance & Accounting
glallocationsource,Finance & Accounting
glbudget,Finance & Accounting
glbudgetline,Finance & Accounting
glbudgetlinedetail,Finance & Accounting
glbudgettree,Finance & Accounting
glconsolaccount,Finance & Accounting
glconsolbatch,Finance & Accounting
glconsolbranch,Finance & Accounting
glconsolhistory,Finance & Accounting
glconsolledger,Finance & Accounting
glconsolsetup,Finance & Accounting
glhistory,Finance & Accounting
glsetup,Finance & Accounting
gltran,Finance & Accounting
gltrancode,Finance & Accounting
igcmcontainerdestination,IT
igcmcontainertype,IT
igcmcustomclassification,IT
igcmlandedcostallocation,IT
igcmlogisticsservice,IT
igcmpocontainerstatus,IT
igcmpolandedcost,IT
igcmpolandedcostline,IT
igcmpolandedcostlinesplit,IT
igcmpolcdetail,IT
igcmpoorderlandedcost,IT
igcmsearateeventsinfo,IT
igcmsearateinfo,IT
igcmsetup,IT
igcmtariff,IT
inabccode,Procurement & Inventory
inavailabilityscheme,Procurement & Inventory
incategory,Procurement & Inventory
incostsite,Procurement & Inventory
incoststatus,Procurement & Inventory
incostsubitemxref,Procurement & Inventory
initembox,Procurement & Inventory
initemcategory,Sales
initemclass,Procurement & Inventory
initemclasscurysettings,Procurement & Inventory
initemclassrep,Procurement & Inventory
initemcost,Procurement & Inventory
initemcosthist,Procurement & Inventory
initemcustsaleshist,Procurement & Inventory
initemcustsalesstats,Procurement & Inventory
initemplan,Procurement & Inventory
initemrep,Procurement & Inventory
initemsaleshist,Procurement & Inventory
initemsaleshistd,Procurement & Inventory
initemsite,Procurement & Inventory
initemsitehist,Procurement & Inventory
initemsitehistbycostcenterd,Procurement & Inventory
initemsitehistd,Procurement & Inventory
initemsitehistday,Procurement & Inventory
initemstats,Procurement & Inventory
initemxref,Procurement & Inventory
inkitspechdr,Procurement & Inventory
inkitspecstkdet,Procurement & Inventory
inlocation,Procurement & Inventory
inlocationstatus,Procurement & Inventory
inlocationstatusbycostcenter,Procurement & Inventory
inlotserclass,Procurement & Inventory
inpiclass,Procurement & Inventory
inpiclassitem,Procurement & Inventory
inpiclasslocation,Procurement & Inventory
inpidetail,Procurement & Inventory
inpiheader,Procurement & Inventory
inplantype,Procurement & Inventory
inpostclass,Procurement & Inventory
inreceiptstatus,Procurement & Inventory
inregister,Procurement & Inventory
inrelatedinventory,Procurement & Inventory
inreplenishmentclass,Procurement & Inventory
inreplenishmentline,Procurement & Inventory
inreplenishmentorder,Procurement & Inventory
inreplenishmentpolicy,Procurement & Inventory
inscansetup,Procurement & Inventory
inscanusersetup,Procurement & Inventory
insetup,Procurement & Inventory
insite,Procurement & Inventory
insitebuilding,Procurement & Inventory
insitestatus,Procurement & Inventory
insitestatusbycostcenter,Procurement & Inventory
instance,Procurement & Inventory
insubitem,Procurement & Inventory
intote,Procurement & Inventory
intran,Procurement & Inventory
intrancost,Procurement & Inventory
intransitline,Procurement & Inventory
intransplit,Procurement & Inventory
inturnovercalc,Procurement & Inventory
inturnovercalcitem,Procurement & Inventory
inunit,Procurement & Inventory
inventoryitem,Sales
inventoryitemcurysettings,Procurement & Inventory
pmchangeorderclass,HR & Employee Management
pminstance,HR & Employee Management
pmreportrowsmultiplier,HR & Employee Management
pmtimeactivity,HR & Employee Management
poaccrualdetail,Procurement & Inventory
poaccrualsplit,Procurement & Inventory
poaccrualstatus,Procurement & Inventory
poaddress,Procurement & Inventory
pocontact,Procurement & Inventory
polandedcostdetail,Procurement & Inventory
polandedcostdoc,Procurement & Inventory
polandedcostreceipt,Procurement & Inventory
polandedcostreceiptline,Procurement & Inventory
